Move,Icon,Attribute,Type,SP Cost,Power,Inheritable
Black Aura Blast,Icons/Moves/dark-icon.png,Dark,Magic,25,110,No
Black Pearl Blast,Icons/Moves/water-icon.png,Water,Magic,5,25,No
Black Rain,Icons/Moves/dark-icon.png,Dark,Physical,25,110,No
Black Tornado,Icons/Moves/dark-icon.png,Dark,Physical,35,0,No
Blade of the Dragon King,Icons/Moves/light-icon.png,Light,Physical,25,150,No
Blade of the Dragon King,Icons/Moves/light-icon.png,Light,Physical,25,120,No
Blaze Sonic Breath,Icons/Moves/fire-icon.png,Fire,Physical,15,100,No
Blazing Ice,Icons/Moves/water-icon.png,Water,Magic,5,60,No
Blinded,Icons/Moves/neutral-icon.png,Neutral,Physical,15,115,No
Blinding Ray,Icons/Moves/light-icon.png,Light,Magic,5,65,No
Blue Blaster,Icons/Moves/fire-icon.png,Fire,Physical,5,65,No
Blue Flare Breath,Icons/Moves/fire-icon.png,Fire,Physical,10,85,No
Brain Rupture,Icons/Moves/electric-icon.png,Electric,Magic,20,115,No
Branch Drain,Icons/Moves/plant-icon.png,Plant,Physical,10,75,No
Brave Metal,Icons/Moves/dark-icon.png,Dark,Physical,20,200,No
Breath of the Gods,Icons/Moves/support-enhancement-icon.png,Neutral,Support,10,0,No
Bubble Blow,Icons/Moves/water-icon.png,Water,Magic,2,30,No
Bubbles,Icons/Moves/water-icon.png,Water,Magic,2,30,No
Bunny Blades,Icons/Moves/wind-icon.png,Wind,Physical,15,55,No
Burning Fist,Icons/Moves/fire-icon.png,Fire,Physical,10,80,No
Burst Flame I,Icons/Moves/fire-icon.png,Fire,Magic,3,55,Yes
Burst Flame II,Icons/Moves/fire-icon.png,Fire,Magic,6,75,Yes
Burst Flame III,Icons/Moves/fire-icon.png,Fire,Magic,9,95,Yes
Burst Shot,Icons/Moves/fire-icon.png,Fire,Physical,20,50,No
Catastrophe Cannon,Icons/Moves/fire-icon.png,Fire,Physical,20,80,No
Celestial Arrow,Icons/Moves/light-icon.png,Light,Magic,15,100,No
Celestial Blade,Icons/Moves/electric-icon.png,Electric,Magic,20,90,No
Celestial Blade,Icons/Moves/light-icon.png,Light,Physical,30,110,No
Chain Loss,Icons/Moves/support-enhancement-icon.png,Neutral,Support,8,0,Yes
Chain Max,Icons/Moves/support-enhancement-icon.png,Neutral,Support,8,0,Yes
Chain Minus,Icons/Moves/support-enhancement-icon.png,Neutral,Support,4,0,Yes
Chain Plus,Icons/Moves/support-enhancement-icon.png,Neutral,Support,4,0,Yes
Chaos Degradation,Icons/Moves/neutral-icon.png,Neutral,Direct,25,0,No
Character Reversal,Icons/Moves/neutral-icon.png,Neutral,Magic,10,30,Yes
Cheese Bomb,Icons/Moves/fire-icon.png,Fire,Physical,5,70,No
Cherry Bomb,Icons/Moves/plant-icon.png,Plant,Physical,15,65,No
Chrono Breaker,Icons/Moves/neutral-icon.png,Neutral,Fixed,10,0,No
Cog Crusher,Icons/Moves/dark-icon.png,Dark,Physical,5,70,No
Cold Flame,Icons/Moves/fire-icon.png,Fire,Physical,15,100,No
Comet Hammer I,Icons/Moves/earth-icon.png,Earth,Physical,3,65,Yes
Comet Hammer II,Icons/Moves/earth-icon.png,Earth,Physical,6,85,Yes
Comet Hammer III,Icons/Moves/earth-icon.png,Earth,Physical,9,105,Yes
Corona Blaster,Icons/Moves/fire-icon.png,Fire,Physical,15,30,No
Corona Destroyer,Icons/Moves/dark-icon.png,Dark,Physical,40,0,No
Crazy Giggle,Icons/Moves/dark-icon.png,Dark,Physical,5,75,No
Crescent Leaf I,Icons/Moves/plant-icon.png,Plant,Physical,3,65,Yes
Crescent Leaf II,Icons/Moves/plant-icon.png,Plant,Physical,6,85,Yes
Crescent Leaf III,Icons/Moves/plant-icon.png,Plant,Physical,9,105,Yes
Crimson Curse,Icons/Moves/fire-icon.png,Fire,Physical,10,45,No
Critical Charge,Icons/Moves/support-enhancement-icon.png,Neutral,Support,6,0,Yes
Cross Blade,Icons/Moves/light-icon.png,Light,Physical,15,110,No
Cross-Counter,Icons/Moves/support-enhancement-icon.png,Neutral,Support,6,0,Yes
Crystal Cloud,Icons/Moves/water-icon.png,Water,Magic,10,30,No
Crystal Revolution,Icons/Moves/water-icon.png,Water,Magic,25,90,No
D-Grenade,Icons/Moves/fire-icon.png,Fire,Physical,10,40,No
Dark Prominence,Icons/Moves/dark-icon.png,Dark,Magic,40,0,No
Dark Pupil,Icons/Moves/dark-icon.png,Dark,Physical,15,110,No
Dark Roar,Icons/Moves/dark-icon.png,Dark,Physical,15,130,No
Dark Terra Force,Icons/Moves/dark-icon.png,Dark,Physical,20,100,No
Darkness Wave,Icons/Moves/dark-icon.png,Dark,Magic,15,35,No
Darkness Zone,Icons/Moves/neutral-icon.png,Neutral,Fixed,40,0,No
Data Crusher,Icons/Moves/dark-icon.png,Dark,Physical,10,90,No
Data Drain,Icons/Moves/dark-icon.png,Dark,Physical,5,35,No
Dead or Alive,Icons/Moves/neutral-icon.png,Neutral,Magic,25,130,No
Death Charm,Icons/Moves/neutral-icon.png,Neutral,Direct,10,0,No
Death Claw,Icons/Moves/neutral-icon.png,Neutral,Fixed,10,0,No
Death Parade Blaster,Icons/Moves/light-icon.png,Light,Physical,15,40,No
Demi Darts,Icons/Moves/dark-icon.png,Dark,Physical,5,20,No
Demonic Disaster,Icons/Moves/dark-icon.png,Dark,Physical,25,140,No
Desolation Claw,Icons/Moves/neutral-icon.png,Neutral,Physical,15,115,No
Destroyed Hook,Icons/Moves/electric-icon.png,Electric,Physical,35,0,No
Destroyed Rush,Icons/Moves/earth-icon.png,Earth,Physical,20,25,No
Destruction,Icons/Moves/dark-icon.png,Dark,Physical,10,40,Yes
Destruction Cannon I,Icons/Moves/dark-icon.png,Dark,Physical,3,65,Yes
Destruction Cannon II,Icons/Moves/dark-icon.png,Dark,Physical,6,85,Yes
Destruction Cannon III,Icons/Moves/dark-icon.png,Dark,Physical,9,105,Yes
Destruction Crush,Icons/Moves/earth-icon.png,Earth,Magic,20,80,No
Diamond Shell,Icons/Moves/earth-icon.png,Earth,Physical,5,60,No
Diamond Storm,Icons/Moves/plant-icon.png,Plant,Magic,5,25,No
Digital Bomb,Icons/Moves/fire-icon.png,Fire,Magic,15,80,No
Dimension Scissor,Icons/Moves/plant-icon.png,Plant,Physical,35,0,No
Disaster Blaster,Icons/Moves/light-icon.png,Light,Magic,15,65,No
Dispel,Icons/Moves/support-icon.png,Neutral,Support,25,0,Yes
Divine Atonement,Icons/Moves/light-icon.png,Light,Magic,50,200,No
Divine Dragon Slash,Icons/Moves/neutral-icon.png,Neutral,Physical,35,0,No
Divine Pierce,Icons/Moves/light-icon.png,Light,Magic,5,65,No
Divine Pierce (Awake),Icons/Moves/light-icon.png,Light,Magic,20,90,No
Dot Matrix,Icons/Moves/neutral-icon.png,Neutral,Physical,35,0,No
Double Backhand,Icons/Moves/neutral-icon.png,Neutral,Physical,5,20,No
Double Impact,Icons/Moves/dark-icon.png,Dark,Physical,25,20,No
Double Scissor Claw,Icons/Moves/neutral-icon.png,Neutral,Physical,30,0,No
Dragon Impulse,Icons/Moves/wind-icon.png,Wind,Physical,15,250,No
Dragon's Roar,Icons/Moves/fire-icon.png,Fire,Physical,25,60,No
Dragonic Impact,Icons/Moves/fire-icon.png,Fire,Physical,50,100,No
Dumdum Uppercut,Icons/Moves/neutral-icon.png,Neutral,Physical,10,90,No
Earth-Shattering Stomp,Icons/Moves/dark-icon.png,Dark,Physical,15,30,No
Eden's Javelin,Icons/Moves/light-icon.png,Light,Magic,20,120,No
Eiseiryuoujin,Icons/Moves/electric-icon.png,Electric,Physical,35,0,No
Elastic Bubbles,Icons/Moves/water-icon.png,Water,Magic,2,30,No
Electric Shock,Icons/Moves/electric-icon.png,Electric,Magic,5,55,No
Electric Stun Blast,Icons/Moves/electric-icon.png,Electric,Physical,5,65,No
Electro Shocker,Icons/Moves/electric-icon.png,Electric,Magic,10,80,No
Energy Bomb,Icons/Moves/electric-icon.png,Electric,Magic,15,100,No
Escape Dash,Icons/Moves/support-enhancement-icon.png,Neutral,Support,0,0,Yes
Eternal Nightmare,Icons/Moves/dark-icon.png,Dark,Magic,50,0,No
Exhaust Flame,Icons/Moves/fire-icon.png,Fire,Physical,10,85,No
Extinction Wave,Icons/Moves/light-icon.png,Light,Magic,25,80,No
Extinction Wave,Icons/Moves/light-icon.png,Light,Magic,25,80,No
Eye of Nightmares,Icons/Moves/dark-icon.png,Dark,Magic,5,50,No
Eye of the Gorgon,Icons/Moves/support-enhancement-icon.png,Neutral,Support,20,0,No
Fang Strike,Icons/Moves/fire-icon.png,Fire,Physical,10,90,No
Feather Slash,Icons/Moves/wind-icon.png,Wind,Physical,10,0,No
Fenrir Sword,Icons/Moves/water-icon.png,Water,Physical,15,130,No
Fiery Fastball,Icons/Moves/fire-icon.png,Fire,Physical,5,70,No
Fif Cross,Icons/Moves/earth-icon.png,Earth,Physical,10,55,No
Fifth Rush,Icons/Moves/earth-icon.png,Earth,Physical,5,20,No
Final Aura,Icons/Moves/support-icon.png,Neutral,Support,40,0,Yes
Final Heal,Icons/Moves/support-icon.png,Neutral,Support,16,0,Yes
Final Shining Burst,Icons/Moves/fire-icon.png,Fire,Physical,50,200,No
Fire Breath,Icons/Moves/fire-icon.png,Fire,Physical,10,90,No
Fire Tornado,Icons/Moves/light-icon.png,Light,Magic,20,95,No
Firedrake Strike,Icons/Moves/fire-icon.png,Fire,Physical,25,140,No
Fist of Athena,Icons/Moves/fire-icon.png,Fire,Physical,40,0,No
Fist of Athena,Icons/Moves/fire-icon.png,Fire,Physical,40,0,No
Fist of Ice,Icons/Moves/water-icon.png,Water,Physical,15,110,No
Fist of the Beast King,Icons/Moves/earth-icon.png,Earth,Physical,10,95,No
Flame Cannon,Icons/Moves/fire-icon.png,Fire,Physical,20,100,No
Flame Inferno,Icons/Moves/fire-icon.png,Fire,Magic,25,90,No
Flaming Fist,Icons/Moves/fire-icon.png,Fire,Physical,10,70,No
Flashy Boss Punch,Icons/Moves/light-icon.png,Light,Physical,20,130,No
Flower Cannon,Icons/Moves/plant-icon.png,Plant,Magic,15,105,No
Flying Kick,Icons/Moves/plant-icon.png,Plant,Physical,10,95,No
Forbidden Trident,Icons/Moves/water-icon.png,Water,Physical,15,115,No
Fossil Bite,Icons/Moves/water-icon.png,Water,Physical,10,30,No
Fox Fire,Icons/Moves/fire-icon.png,Fire,Physical,10,85,No
Fox Tail,Icons/Moves/light-icon.png,Light,Physical,2,35,No
Freeze Fang,Icons/Moves/water-icon.png,Water,Physical,10,85,No
Freezing Breath,Icons/Moves/water-icon.png,Water,Magic,20,120,No
Frozen Claw,Icons/Moves/water-icon.png,Water,Physical,20,0,No
Full Moon Blaster,Icons/Moves/light-icon.png,Light,Physical,20,135,No
Full Moon Kick,Icons/Moves/earth-icon.png,Earth,Physical,15,110,No
Full Moon Meteor Impact,Icons/Moves/light-icon.png,Light,Physical,20,120,No
Fungus Crusher,Icons/Moves/plant-icon.png,Plant,Physical,10,60,No
Fury Fire,Icons/Moves/light-icon.png,Light,Physical,10,40,No
Fury Fire (Awake),Icons/Moves/light-icon.png,Light,Physical,20,60,No
Gaia Element I,Icons/Moves/plant-icon.png,Plant,Magic,3,55,Yes
Gaia Element II,Icons/Moves/plant-icon.png,Plant,Magic,6,75,Yes
Gaia Element III,Icons/Moves/plant-icon.png,Plant,Magic,9,95,Yes
Galactic Flare,Icons/Moves/neutral-icon.png,Neutral,Magic,15,55,No
Gale Storm I,Icons/Moves/wind-icon.png,Wind,Physical,4,30,Yes
Gale Storm II,Icons/Moves/wind-icon.png,Wind,Physical,7,45,Yes
Gale Storm III,Icons/Moves/wind-icon.png,Wind,Physical,10,75,Yes
Garuru Tomahawk,Icons/Moves/neutral-icon.png,Neutral,Physical,20,140,No
Gear Stringer,Icons/Moves/electric-icon.png,Electric,Physical,5,25,No
Genocidal Gears,Icons/Moves/fire-icon.png,Fire,Physical,15,60,No
Genocide Attack,Icons/Moves/fire-icon.png,Fire,Physical,15,110,No
GeoGrey Sword,Icons/Moves/fire-icon.png,Fire,Physical,20,130,No
Gift of Darkness,Icons/Moves/dark-icon.png,Dark,Physical,40,0,No
Giga Blaster,Icons/Moves/electric-icon.png,Electric,Magic,20,130,No
Giga Destroyer,Icons/Moves/fire-icon.png,Fire,Physical,15,115,No
Glare Eye,Icons/Moves/dark-icon.png,Dark,Magic,2,30,No
Glide Horn,Icons/Moves/wind-icon.png,Wind,Physical,10,85,No
Goblin Strike,Icons/Moves/fire-icon.png,Fire,Physical,5,65,No
God Flame,Icons/Moves/light-icon.png,Light,Physical,20,100,No
God Matrix,Icons/Moves/neutral-icon.png,Neutral,Physical,50,0,No
Golden Rush,Icons/Moves/light-icon.png,Light,Physical,10,10,No
Golden Triangle,Icons/Moves/light-icon.png,Light,Magic,20,110,No
Good Night Moon,Icons/Moves/light-icon.png,Light,Magic,20,120,No
Grand Cross,Icons/Moves/light-icon.png,Light,Physical,30,0,No
Grand Rock I,Icons/Moves/earth-icon.png,Earth,Magic,3,55,Yes
Grand Rock II,Icons/Moves/earth-icon.png,Earth,Magic,6,75,Yes
Grand Rock III,Icons/Moves/earth-icon.png,Earth,Magic,9,95,Yes
Great Tornado,Icons/Moves/neutral-icon.png,Neutral,Physical,35,0,No
Great Weight,Icons/Moves/earth-icon.png,Earth,Physical,10,85,No
Green Flare Breath,Icons/Moves/fire-icon.png,Fire,Physical,20,0,No
Guard Break,Icons/Moves/support-enhancement-icon.png,Neutral,Support,6,0,Yes
Guard Break Field,Icons/Moves/support-enhancement-icon.png,Neutral,Support,20,0,Yes
Guard Charge,Icons/Moves/support-enhancement-icon.png,Neutral,Support,6,0,Yes
Guard Charge Field,Icons/Moves/support-enhancement-icon.png,Neutral,Support,20,0,Yes
Hard Rock Spirit,Icons/Moves/fire-icon.png,Fire,Physical,20,65,No
Harpoon Torpedo,Icons/Moves/fire-icon.png,Fire,Physical,10,90,No
Heal,Icons/Moves/support-icon.png,Neutral,Support,4,0,Yes
Hearts Attack,Icons/Moves/support-icon.png,Neutral,Support,20,0,No
Heat Wave,Icons/Moves/fire-icon.png,Fire,Magic,15,75,No
Heaven's Gate,Icons/Moves/light-icon.png,Light,Magic,15,100,No
Heaven's Judgment,Icons/Moves/light-icon.png,Light,Magic,20,90,No
Heaven's Knuckle,Icons/Moves/light-icon.png,Light,Physical,10,80,No
Heaven's Thunder,Icons/Moves/electric-icon.png,Electric,Magic,25,20,No
Heaven's Thunder I,Icons/Moves/electric-icon.png,Electric,Magic,3,55,Yes
Heaven's Thunder II,Icons/Moves/electric-icon.png,Electric,Magic,6,75,Yes
Heaven's Thunder III,Icons/Moves/electric-icon.png,Electric,Magic,9,95,Yes
Heavy Metal Fire,Icons/Moves/fire-icon.png,Fire,Physical,15,110,No
Heavy Strike I,Icons/Moves/neutral-icon.png,Neutral,Physical,3,70,Yes
Heavy Strike II,Icons/Moves/neutral-icon.png,Neutral,Physical,6,90,Yes
Heavy Strike III,Icons/Moves/neutral-icon.png,Neutral,Physical,9,110,Yes
Hell Crusher I,Icons/Moves/dark-icon.png,Dark,Magic,4,20,Yes
Hell Crusher II,Icons/Moves/dark-icon.png,Dark,Magic,7,35,Yes
Hell Crusher III,Icons/Moves/dark-icon.png,Dark,Magic,10,65,Yes
Hell Masquerade,Icons/Moves/plant-icon.png,Plant,Physical,15,35,No
Hit Charge,Icons/Moves/support-enhancement-icon.png,Neutral,Support,6,0,Yes
Holy Light I,Icons/Moves/light-icon.png,Light,Magic,3,55,Yes
Holy Light II,Icons/Moves/light-icon.png,Light,Magic,6,75,Yes
Holy Light III,Icons/Moves/light-icon.png,Light,Magic,9,95,Yes
Holy Shot,Icons/Moves/light-icon.png,Light,Magic,10,75,No
Horn Buster,Icons/Moves/electric-icon.png,Electric,Magic,30,0,No
Howling Crusher,Icons/Moves/earth-icon.png,Earth,Physical,20,65,No
Hydro Water I,Icons/Moves/water-icon.png,Water,Magic,3,55,Yes
Hydro Water II,Icons/Moves/water-icon.png,Water,Magic,6,75,Yes
Hydro Water III,Icons/Moves/water-icon.png,Water,Magic,9,95,Yes
Hyper Cannon,Icons/Moves/fire-icon.png,Fire,Physical,10,200,No
Hyper Heat,Icons/Moves/fire-icon.png,Fire,Physical,10,85,No
Hyper Infinity Cannon,Icons/Moves/electric-icon.png,Electric,Physical,25,115,No
Hyper Smell,Icons/Moves/earth-icon.png,Earth,Physical,10,70,No
Ice Archery I,Icons/Moves/water-icon.png,Water,Physical,3,65,Yes
Ice Archery II,Icons/Moves/water-icon.png,Water,Physical,6,85,Yes
Ice Archery III,Icons/Moves/water-icon.png,Water,Physical,9,105,Yes
Ice Blast,Icons/Moves/water-icon.png,Water,Magic,10,75,No
Ice Wolf Claw,Icons/Moves/water-icon.png,Water,Physical,20,45,No
Iceball Bomb,Icons/Moves/water-icon.png,Water,Physical,10,80,No
Idle Bubble,Icons/Moves/water-icon.png,Water,Magic,10,30,Yes
Infinity Cannon,Icons/Moves/electric-icon.png,Electric,Physical,20,115,No
Infinity Dream,Icons/Moves/support-enhancement-icon.png,Neutral,Support,30,0,No
Judecca Prison,Icons/Moves/dark-icon.png,Dark,Magic,25,115,No
Judgement of the Blade,Icons/Moves/neutral-icon.png,Neutral,Physical,25,30,No
Justice Kick,Icons/Moves/neutral-icon.png,Neutral,Physical,20,130,No
Katana Attack,Icons/Moves/neutral-icon.png,Neutral,Physical,10,0,No
Knuckle Beater,Icons/Moves/neutral-icon.png,Neutral,Physical,5,75,No
Kunai Wing,Icons/Moves/wind-icon.png,Wind,Physical,10,30,No
Legendary Dragon Blade,Icons/Moves/earth-icon.png,Earth,Physical,30,0,No
Lightning Javelin,Icons/Moves/electric-icon.png,Electric,Magic,15,105,No
Lightning Joust,Icons/Moves/light-icon.png,Light,Physical,25,140,No
Lightning Joust,Icons/Moves/light-icon.png,Light,Physical,25,135,No
Lightning Paw,Icons/Moves/neutral-icon.png,Neutral,Fixed,10,0,No
Lightning Spear,Icons/Moves/electric-icon.png,Electric,Magic,40,0,No
Lila Shower,Icons/Moves/plant-icon.png,Plant,Magic,15,60,No
Little Horn,Icons/Moves/neutral-icon.png,Neutral,Physical,5,70,No
Love Serenade,Icons/Moves/dark-icon.png,Dark,Magic,30,0,No
Lullaby Bubble,Icons/Moves/water-icon.png,Water,Magic,5,55,No
Lunatic Dance,Icons/Moves/water-icon.png,Water,Physical,15,100,No
Mach Rush I,Icons/Moves/neutral-icon.png,Neutral,Physical,4,35,Yes
Mach Rush II,Icons/Moves/neutral-icon.png,Neutral,Physical,7,50,Yes
Mach Rush III,Icons/Moves/neutral-icon.png,Neutral,Physical,10,80,Yes
Mach Stinger V,Icons/Moves/electric-icon.png,Electric,Physical,20,20,No
Machinegun Destroyer,Icons/Moves/fire-icon.png,Fire,Physical,20,150,No
Marching Fishes,Icons/Moves/water-icon.png,Water,Physical,5,15,No
Mature Poop,Icons/Moves/earth-icon.png,Earth,Physical,10,75,No
Mega Burst,Icons/Moves/fire-icon.png,Fire,Physical,10,45,No
Mega Flame,Icons/Moves/fire-icon.png,Fire,Physical,10,95,No
Megadeath,Icons/Moves/dark-icon.png,Dark,Magic,20,95,No
Megiddo Flame,Icons/Moves/fire-icon.png,Fire,Physical,20,130,No
Mental Break,Icons/Moves/support-enhancement-icon.png,Neutral,Support,6,0,Yes
Mental Break Field,Icons/Moves/support-enhancement-icon.png,Neutral,Support,20,0,Yes
Mental Charge,Icons/Moves/support-enhancement-icon.png,Neutral,Support,6,0,Yes
Mental Charge Field,Icons/Moves/support-enhancement-icon.png,Neutral,Support,20,0,Yes
Metal Armor Blade,Icons/Moves/neutral-icon.png,Neutral,Physical,20,0,No
Metal Cannon,Icons/Moves/neutral-icon.png,Neutral,Physical,5,70,No
Metal Meteor,Icons/Moves/earth-icon.png,Earth,Physical,15,115,No
Meteor Fall I,Icons/Moves/fire-icon.png,Fire,Physical,4,30,Yes
Meteor Fall II,Icons/Moves/fire-icon.png,Fire,Physical,7,45,Yes
Meteor Fall III,Icons/Moves/fire-icon.png,Fire,Physical,10,75,Yes
Meteor Shower,Icons/Moves/neutral-icon.png,Neutral,Physical,10,40,No
Meteor Wing,Icons/Moves/fire-icon.png,Fire,Magic,10,25,No
Miracle Bomb,Icons/Moves/fire-icon.png,Fire,Physical,15,130,No
Mirror Reflection,Icons/Moves/support-enhancement-icon.png,Neutral,Support,6,0,Yes
Monkey Wrench,Icons/Moves/support-enhancement-icon.png,Neutral,Support,40,0,No
Moon Night Bomb,Icons/Moves/water-icon.png,Water,Magic,10,60,No
Mourning Dance,Icons/Moves/dark-icon.png,Dark,Physical,20,20,No
Musical Fist,Icons/Moves/neutral-icon.png,Neutral,Magic,30,0,No
Nail Bone,Icons/Moves/neutral-icon.png,Neutral,Direct,15,0,No
Nail Scratch,Icons/Moves/dark-icon.png,Dark,Physical,2,40,No
Nanomachine Break I,Icons/Moves/electric-icon.png,Electric,Physical,3,65,Yes
Nanomachine Break II,Icons/Moves/electric-icon.png,Electric,Physical,6,85,Yes
Nanomachine Break III,Icons/Moves/electric-icon.png,Electric,Physical,9,105,Yes
Needle Spray,Icons/Moves/plant-icon.png,Plant,Physical,10,40,No
Night Raid,Icons/Moves/dark-icon.png,Dark,Magic,15,65,No
Nightmare I,Icons/Moves/dark-icon.png,Dark,Magic,3,55,Yes
Nightmare II,Icons/Moves/dark-icon.png,Dark,Magic,6,75,Yes
Nightmare III,Icons/Moves/dark-icon.png,Dark,Magic,9,95,Yes
Nightmare Syndrome,Icons/Moves/neutral-icon.png,Neutral,Magic,15,0,No
Ninja Blade,Icons/Moves/wind-icon.png,Wind,Physical,5,35,No
Ninja Claw,Icons/Moves/neutral-icon.png,Neutral,Physical,10,30,No
Nitro Stinger,Icons/Moves/electric-icon.png,Electric,Physical,30,0,No
Nuclear Laser,Icons/Moves/electric-icon.png,Electric,Physical,30,0,No
Oblivion Bird,Icons/Moves/fire-icon.png,Fire,Physical,15,110,No
Ocean Love,Icons/Moves/support-icon.png,Neutral,Support,20,0,No
Ocean Wave I,Icons/Moves/water-icon.png,Water,Magic,4,20,Yes
Ocean Wave II,Icons/Moves/water-icon.png,Water,Magic,7,35,Yes
Ocean Wave III,Icons/Moves/water-icon.png,Water,Magic,10,65,Yes
Odin's Breath,Icons/Moves/water-icon.png,Water,Physical,25,105,No
Omni Sword,Icons/Moves/light-icon.png,Light,Physical,30,150,No
Pandemonium Lost,Icons/Moves/dark-icon.png,Dark,Magic,25,80,No
Pandora Dialogue,Icons/Moves/neutral-icon.png,Neutral,Magic,15,0,No
Panic Wisp,Icons/Moves/fire-icon.png,Fire,Magic,10,30,Yes
Pendragon's Glory,Icons/Moves/electric-icon.png,Electric,Physical,25,145,No
Pepper Breath,Icons/Moves/fire-icon.png,Fire,Physical,5,70,No
Perfect Revival,Icons/Moves/support-icon.png,Neutral,Support,60,0,Yes
Phantom Pain,Icons/Moves/dark-icon.png,Dark,Magic,50,0,No
Physical Drain,Icons/Moves/neutral-icon.png,Neutral,Physical,3,50,Yes
Pit Bomb,Icons/Moves/fire-icon.png,Fire,Magic,15,105,No
Plasma Shot,Icons/Moves/fire-icon.png,Fire,Physical,25,35,No
Plastic Blaze,Icons/Moves/fire-icon.png,Fire,Physical,5,60,No
Platinum Junk,Icons/Moves/earth-icon.png,Earth,Physical,20,35,No
Poison Bubbles,Icons/Moves/dark-icon.png,Dark,Magic,2,25,No
Poison Ivy,Icons/Moves/plant-icon.png,Plant,Physical,5,65,No
Poop,Icons/Moves/earth-icon.png,Earth,Physical,10,75,No
Poop Dunk,Icons/Moves/earth-icon.png,Earth,Physical,10,80,No
Poop Toss,Icons/Moves/earth-icon.png,Earth,Physical,10,75,No
Positron Laser,Icons/Moves/light-icon.png,Light,Physical,20,150,No
Power Energy I,Icons/Moves/neutral-icon.png,Neutral,Magic,3,60,Yes
Power Energy II,Icons/Moves/neutral-icon.png,Neutral,Magic,6,80,Yes
Power Energy III,Icons/Moves/neutral-icon.png,Neutral,Magic,9,100,Yes
Power Metal,Icons/Moves/neutral-icon.png,Neutral,Physical,10,90,No
Prison Fist,Icons/Moves/dark-icon.png,Dark,Physical,10,20,No
Protect Wave,Icons/Moves/support-enhancement-icon.png,Neutral,Support,30,0,No
Protect Wave (Awake),Icons/Moves/support-enhancement-icon.png,Neutral,Support,99,0,No
Pummel Whack,Icons/Moves/dark-icon.png,Dark,Physical,10,90,No
Puppet Pummel,Icons/Moves/earth-icon.png,Earth,Physical,20,125,No
Puppy Howl,Icons/Moves/light-icon.png,Light,Magic,10,0,No
